2022-02-16 21:10:59,657 [main.py         | 38] INFO: Start to run /Users/yangjingfeng/Library/CloudStorage/OneDrive-Personal/Public/PhD Study/Papers/Food_Delivery/Code/Food_delivery_simulator/Benchmark/Instance_small: instance_56
2022-02-16 21:11:48,678 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:48,680 [simulator_env.py | 278] INFO: 2022-02-16 13:00:00, Order 12501200636: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:48,681 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:48,682 [simulator_env.py | 91] INFO: cur time: 2022-02-16 13:10:00, pre time: 2022-02-16 13:00:00
2022-02-16 21:11:48,682 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 13:10:00
2022-02-16 21:11:48,688 [simulator_env.py | 175] INFO: Get 15 unallocated orders, 5 ongoing orders, 641 completed orders.
2022-02-16 21:11:50,720 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-16 21:11:50,722 [simulator_env.py | 278] INFO: 2022-02-16 13:10:00, Order 13003800646: state = 1 < 2, we can not finish the simulation
2022-02-16 21:11:50,722 [simulator_env.py | 87] INFO: **************************************************
2022-02-16 21:11:50,723 [simulator_env.py | 91] INFO: cur time: 2022-02-16 13:20:00, pre time: 2022-02-16 13:10:00
2022-02-16 21:11:50,723 [simulator_env.py | 147] INFO: Start to update the input of 2022-02-16 13:20:00
2022-02-16 21:11:50,730 [simulator_env.py | 175] INFO: Get 19 unallocated orders, 12 ongoing orders, 649 completed orders.
2022-02-16 21:11:52,799 [simulator_env.py | 100] INFO: Finish the dispatch.
